"","Model","RMSE"
"655","Multiple Linear Regression",4585.04256636843
"656","Imputation Model",14136.9502335153
"657","Gradient Boosting Machines",4130.89963389734
"658","Multiple Linear Regression",4758.06136945579
"659","Imputation Model",14334.6143003861
"660","Gradient Boosting Machines",4312.15947115507
"661","Multiple Linear Regression",4890.32347413017
"662","Imputation Model",14424.0670487136
"663","Gradient Boosting Machines",4337.60886390845
"664","Multiple Linear Regression",4496.6303090575
"665","Imputation Model",14096.4423187543
"666","Gradient Boosting Machines",4081.7364694832
"667","Multiple Linear Regression",4404.33905085955
"668","Imputation Model",13992.9249448307
"669","Gradient Boosting Machines",3993.22234837095
"670","Multiple Linear Regression",4786.33652909811
"671","Imputation Model",14259.8384692157
"672","Gradient Boosting Machines",4346.11758204658
"673","Multiple Linear Regression",4446.68433397801
"674","Imputation Model",14203.6110455832
"675","Gradient Boosting Machines",4120.6763061114
"676","Multiple Linear Regression",4787.69832864321
"677","Imputation Model",14335.2852836106
"678","Gradient Boosting Machines",4236.80097934241
"679","Multiple Linear Regression",4792.87261415882
"680","Imputation Model",14264.6645983117
"681","Gradient Boosting Machines",4282.02198909374
"682","Multiple Linear Regression",4699.01789018787
"683","Imputation Model",14244.5025891532
"684","Gradient Boosting Machines",4232.09643629684
"685","Multiple Linear Regression",4536.0606003725
"686","Imputation Model",14093.1226712705
"687","Gradient Boosting Machines",4159.29413369566
"688","Multiple Linear Regression",4584.82493905172
"689","Imputation Model",14048.4699269745
"690","Gradient Boosting Machines",4202.16771592756
"691","Multiple Linear Regression",4757.13528359258
"692","Imputation Model",14333.2909220539
"693","Gradient Boosting Machines",4291.02691141036
"694","Multiple Linear Regression",4444.93939510329
"695","Imputation Model",14053.0425948031
"696","Gradient Boosting Machines",4011.27343969397
"697","Multiple Linear Regression",4555.50621106067
"698","Imputation Model",14143.1727846656
"699","Gradient Boosting Machines",4151.99845086457
"700","Multiple Linear Regression",4587.89014425006
"701","Imputation Model",14099.8036588949
"702","Gradient Boosting Machines",4116.59542710753
"703","Multiple Linear Regression",4465.83206223954
"704","Imputation Model",14036.3762557486
"705","Gradient Boosting Machines",4134.59298062559
"706","Multiple Linear Regression",4511.00286658881
"707","Imputation Model",14034.2625955083
"708","Gradient Boosting Machines",4087.75010449232
"709","Multiple Linear Regression",4713.09265001487
"710","Imputation Model",14269.2181362716
"711","Gradient Boosting Machines",4275.01230672876
"712","Multiple Linear Regression",4599.7559510124
"713","Imputation Model",14211.9193972581
"714","Gradient Boosting Machines",4179.3981721126
"715","Multiple Linear Regression",4512.94857570117
"716","Imputation Model",14221.7896059841
"717","Gradient Boosting Machines",4245.49178164091
"718","Multiple Linear Regression",4496.72405149595
"719","Imputation Model",14024.8893837459
"720","Gradient Boosting Machines",4068.78120869553
"721","Multiple Linear Regression",4504.56925485061
"722","Imputation Model",14053.2273741314
"723","Gradient Boosting Machines",4017.29718851909
"724","Multiple Linear Regression",4475.05272798557
"725","Imputation Model",14135.1689106457
"726","Gradient Boosting Machines",4141.72425992863
"727","Multiple Linear Regression",4912.27788360716
"728","Imputation Model",14539.3809122431
"729","Gradient Boosting Machines",4425.99131881065
"730","Multiple Linear Regression",4823.65564120868
"731","Imputation Model",14257.1342076689
"732","Gradient Boosting Machines",4402.41786347097
"733","Multiple Linear Regression",4576.52348996501
"734","Imputation Model",14153.8118778361
"735","Gradient Boosting Machines",4172.3688214873
"736","Multiple Linear Regression",4619.11023477744
"737","Imputation Model",14202.8666679639
"738","Gradient Boosting Machines",4150.72018342458
"739","Multiple Linear Regression",4596.5989885934
"740","Imputation Model",14113.6571598833
"741","Gradient Boosting Machines",4145.03100876369
"742","Multiple Linear Regression",4518.19073631957
"743","Imputation Model",14089.1253757663
"744","Gradient Boosting Machines",4079.82237865255
"745","Multiple Linear Regression",4462.60644150506
"746","Imputation Model",14209.5283438835
"747","Gradient Boosting Machines",4116.61738395238
"748","Multiple Linear Regression",4841.88343266717
"749","Imputation Model",14368.5532184528
"750","Gradient Boosting Machines",4448.58511506954
"751","Multiple Linear Regression",4602.98913688407
"752","Imputation Model",14189.2720554069
"753","Gradient Boosting Machines",4177.23238885044
"754","Multiple Linear Regression",4809.37511035276
"755","Imputation Model",14358.7441203141
"756","Gradient Boosting Machines",4426.02060662356
"757","Multiple Linear Regression",4557.730861646
"758","Imputation Model",14161.5001812148
"759","Gradient Boosting Machines",4049.75026378066
"760","Multiple Linear Regression",4535.21117900987
"761","Imputation Model",14182.7075091188
"762","Gradient Boosting Machines",4117.1844457323
"763","Multiple Linear Regression",4590.2280346014
"764","Imputation Model",14201.6867766159
"765","Gradient Boosting Machines",4125.77837007339
"766","Multiple Linear Regression",4350.6021848872
"767","Imputation Model",14120.9829228086
"768","Gradient Boosting Machines",4155.54190892075
"769","Multiple Linear Regression",4620.04651559412
"770","Imputation Model",14154.1544341796
"771","Gradient Boosting Machines",4156.25585151567
"772","Multiple Linear Regression",4525.29714230269
"773","Imputation Model",14205.3473171091
"774","Gradient Boosting Machines",4055.6100231112
"775","Multiple Linear Regression",4773.99376705165
"776","Imputation Model",14341.1696602705
"777","Gradient Boosting Machines",4306.1378923169
"778","Multiple Linear Regression",4650.20337737279
"779","Imputation Model",14159.4609611783
"780","Gradient Boosting Machines",4232.33495936627
"781","Multiple Linear Regression",4496.78517761115
"782","Imputation Model",14117.8095637069
"783","Gradient Boosting Machines",4055.20948121195
"784","Multiple Linear Regression",4743.58070545874
"785","Imputation Model",14177.1566374404
"786","Gradient Boosting Machines",4282.8653145479
"787","Multiple Linear Regression",4635.99318493666
"788","Imputation Model",14217.5156738303
"789","Gradient Boosting Machines",4189.57982116653
"790","Multiple Linear Regression",4876.24601089451
"791","Imputation Model",14344.6035730406
"792","Gradient Boosting Machines",4400.14906426736
"793","Multiple Linear Regression",4836.57599971049
"794","Imputation Model",14301.0992651596
"795","Gradient Boosting Machines",4447.94319152951
"796","Multiple Linear Regression",4448.17395748514
"797","Imputation Model",14210.7988718408
"798","Gradient Boosting Machines",4060.88200133545
"799","Multiple Linear Regression",4697.41051557755
"800","Imputation Model",14242.6746607328
"801","Gradient Boosting Machines",4182.28519471806
"802","Multiple Linear Regression",4681.90947215458
"803","Imputation Model",14114.8229936297
"804","Gradient Boosting Machines",4245.28358178115
"805","Multiple Linear Regression",4591.41316694523
"806","Imputation Model",14069.9019325854
"807","Gradient Boosting Machines",4189.72057469444
"808","Multiple Linear Regression",4564.4805755385
"809","Imputation Model",14150.6402107523
"810","Gradient Boosting Machines",4062.84076442148
"811","Multiple Linear Regression",4648.09901210245
"812","Imputation Model",14265.4259635484
"813","Gradient Boosting Machines",4199.66447536498
"814","Multiple Linear Regression",4529.48830905583
"815","Imputation Model",14034.8286763325
"816","Gradient Boosting Machines",4049.60348416809
"817","Multiple Linear Regression",4596.78492126979
"818","Imputation Model",14163.943523464
"819","Gradient Boosting Machines",4196.52127438297
"820","Multiple Linear Regression",4710.60878407402
"821","Imputation Model",14224.7700786053
"822","Gradient Boosting Machines",4300.33445315747
"823","Multiple Linear Regression",4705.63001955041
"824","Imputation Model",14203.0358668787
"825","Gradient Boosting Machines",4263.96319452833
"826","Multiple Linear Regression",4375.86051715622
"827","Imputation Model",13984.5128753984
"828","Gradient Boosting Machines",3965.75768998797
"829","Multiple Linear Regression",4604.43282698214
"830","Imputation Model",14172.6119484706
"831","Gradient Boosting Machines",4227.69877134072
"832","Multiple Linear Regression",4502.8830813301
"833","Imputation Model",14137.1785496654
"834","Gradient Boosting Machines",4049.75455035328
"835","Multiple Linear Regression",4646.03275007951
"836","Imputation Model",14236.9276575312
"837","Gradient Boosting Machines",4245.89142993255
"838","Multiple Linear Regression",4461.7580961007
"839","Imputation Model",14002.6263178769
"840","Gradient Boosting Machines",4245.21477402445
"841","Multiple Linear Regression",4694.03213968942
"842","Imputation Model",14189.5631911953
"843","Gradient Boosting Machines",4205.45809612038
"844","Multiple Linear Regression",4694.04248968316
"845","Imputation Model",14308.6082198384
"846","Gradient Boosting Machines",4146.1188421716
"847","Multiple Linear Regression",4783.188608809
"848","Imputation Model",14264.9953177705
"849","Gradient Boosting Machines",4278.87431138601
"850","Multiple Linear Regression",4519.91544514709
"851","Imputation Model",14042.3994740812
"852","Gradient Boosting Machines",4059.28468003659
"853","Multiple Linear Regression",4731.9405768812
"854","Imputation Model",14301.2780165979
"855","Gradient Boosting Machines",4292.55102333202
"856","Multiple Linear Regression",4778.03725203112
"857","Imputation Model",14213.6954466344
"858","Gradient Boosting Machines",4280.93238982418
"859","Multiple Linear Regression",4765.80192897475
"860","Imputation Model",14183.1184749831
"861","Gradient Boosting Machines",4336.09288451347
"862","Multiple Linear Regression",4813.885786238
"863","Imputation Model",14333.9119869431
"864","Gradient Boosting Machines",4467.97350118264
"865","Multiple Linear Regression",4743.26497426113
"866","Imputation Model",14218.6139244381
"867","Gradient Boosting Machines",4280.94676692864
"868","Multiple Linear Regression",4636.50726294044
"869","Imputation Model",14119.1101849951
"870","Gradient Boosting Machines",4145.82602209381
"871","Multiple Linear Regression",4781.86129422318
"872","Imputation Model",14312.6281421352
"873","Gradient Boosting Machines",4307.89431718354
"874","Multiple Linear Regression",4560.67714862307
"875","Imputation Model",14114.0406409924
"876","Gradient Boosting Machines",4173.74813960663
"877","Multiple Linear Regression",4615.52842345669
"878","Imputation Model",14163.3747729766
"879","Gradient Boosting Machines",4244.35663001541
"880","Multiple Linear Regression",4852.14881139854
"881","Imputation Model",14374.6570340388
"882","Gradient Boosting Machines",4407.25037616218
"883","Multiple Linear Regression",4393.24587207299
"884","Imputation Model",14082.1248929493
"885","Gradient Boosting Machines",4115.62486338734
"886","Multiple Linear Regression",4469.39805298294
"887","Imputation Model",14111.1130105236
"888","Gradient Boosting Machines",4029.76157025705
"889","Multiple Linear Regression",4496.803560085
"890","Imputation Model",14052.3472543206
"891","Gradient Boosting Machines",4033.53116514596
"892","Multiple Linear Regression",4431.87395060978
"893","Imputation Model",13999.9854612899
"894","Gradient Boosting Machines",4009.13928696745
"895","Multiple Linear Regression",4446.91150581777
"896","Imputation Model",14180.9185882386
"897","Gradient Boosting Machines",4038.19087073187
"898","Multiple Linear Regression",4644.89800636208
"899","Imputation Model",14233.6927167273
"900","Gradient Boosting Machines",4141.55385109883
"901","Multiple Linear Regression",4418.76428194318
"902","Imputation Model",14103.523361778
"903","Gradient Boosting Machines",4050.31227898983
"904","Multiple Linear Regression",4369.88994674784
"905","Imputation Model",14092.7560029874
"906","Gradient Boosting Machines",4052.28139869813
"907","Multiple Linear Regression",4486.50038977593
"908","Imputation Model",14149.6555083569
"909","Gradient Boosting Machines",4130.9480699862
"910","Multiple Linear Regression",4901.02744713734
"911","Imputation Model",14417.5317169492
"912","Gradient Boosting Machines",4365.7707139353
"913","Multiple Linear Regression",4619.24702029896
"914","Imputation Model",14154.1015898748
"915","Gradient Boosting Machines",4205.91242583146
"916","Multiple Linear Regression",4686.433130962
"917","Imputation Model",14207.6778011554
"918","Gradient Boosting Machines",4222.01869814566
"919","Multiple Linear Regression",4345.8619921243
"920","Imputation Model",14115.7076425749
"921","Gradient Boosting Machines",3964.70396762398
"922","Multiple Linear Regression",4570.18050957505
"923","Imputation Model",14175.5128984631
"924","Gradient Boosting Machines",4162.43933534407
"925","Multiple Linear Regression",4848.59576987017
"926","Imputation Model",14336.4474678096
"927","Gradient Boosting Machines",4373.49644058162
"928","Multiple Linear Regression",4588.68552762121
"929","Imputation Model",14153.3681029934
"930","Gradient Boosting Machines",4237.03542986601
"931","Multiple Linear Regression",4465.82341207257
"932","Imputation Model",14078.2047867073
"933","Gradient Boosting Machines",4014.50531627654
"934","Multiple Linear Regression",4891.58243294697
"935","Imputation Model",14429.8815911331
"936","Gradient Boosting Machines",4406.0733184522
"937","Multiple Linear Regression",4795.93954128743
"938","Imputation Model",14234.6543571692
"939","Gradient Boosting Machines",4328.71461147521
"940","Multiple Linear Regression",4438.24270293785
"941","Imputation Model",13971.6185879446
"942","Gradient Boosting Machines",4073.99383467316
"943","Multiple Linear Regression",4713.9396823246
"944","Imputation Model",14253.5000253182
"945","Gradient Boosting Machines",4258.68472011452
"946","Multiple Linear Regression",4552.65748187578
"947","Imputation Model",14220.3264558555
"948","Gradient Boosting Machines",4113.84770568982
"949","Multiple Linear Regression",4539.67650658659
"950","Imputation Model",14192.8101979103
"951","Gradient Boosting Machines",4051.41174222168
"952","Multiple Linear Regression",4553.16964047772
"953","Imputation Model",14118.5146899177
"954","Gradient Boosting Machines",4161.01856270675
"955","Multiple Linear Regression",4432.6331927719
"956","Imputation Model",14070.3635789347
"957","Gradient Boosting Machines",4054.81372197841
"958","Multiple Linear Regression",4581.69489941387
"959","Imputation Model",14217.7233759349
"960","Gradient Boosting Machines",4181.55148895515
"961","Multiple Linear Regression",4834.0656148493
"962","Imputation Model",14285.0005083539
"963","Gradient Boosting Machines",4326.36665176997
"964","Multiple Linear Regression",4408.86000040012
"965","Imputation Model",14146.8805903418
"966","Gradient Boosting Machines",4034.02890833978
"967","Multiple Linear Regression",4530.47237521965
"968","Imputation Model",14183.3713300634
"969","Gradient Boosting Machines",4138.34297219722
"970","Multiple Linear Regression",4673.12861550271
"971","Imputation Model",14284.0137679721
"972","Gradient Boosting Machines",4149.86711287225
"973","Multiple Linear Regression",4886.62837402894
"974","Imputation Model",14358.6473847038
"975","Gradient Boosting Machines",4349.74688322457
"976","Multiple Linear Regression",4688.10309499269
"977","Imputation Model",14207.0427146015
"978","Gradient Boosting Machines",4244.5893368104
"979","Multiple Linear Regression",4502.3772946132
"980","Imputation Model",14132.3672462644
"981","Gradient Boosting Machines",4055.98613020229
"982","Multiple Linear Regression",4605.31903478232
"983","Imputation Model",14080.5845315233
"984","Gradient Boosting Machines",4139.64270222608
"985","Multiple Linear Regression",4546.21738464616
"986","Imputation Model",14167.4681539389
"987","Gradient Boosting Machines",4132.68843258556
"988","Multiple Linear Regression",4540.2362757999
"989","Imputation Model",14243.2655630809
"990","Gradient Boosting Machines",4123.28394879182
"991","Multiple Linear Regression",4525.09560193235
"992","Imputation Model",14128.8465828886
"993","Gradient Boosting Machines",4134.59087086693
"994","Multiple Linear Regression",4718.04204531235
"995","Imputation Model",14288.8731799487
"996","Gradient Boosting Machines",4293.19906762253
"997","Multiple Linear Regression",4581.97605913857
"998","Imputation Model",14075.7692328938
"999","Gradient Boosting Machines",4237.80680763515
"1000","Multiple Linear Regression",4705.30735192213
"1001","Imputation Model",14299.7435983125
"1002","Gradient Boosting Machines",4244.04220400138
"1003","Multiple Linear Regression",4595.94784371725
"1004","Imputation Model",14172.990984979
"1005","Gradient Boosting Machines",4165.5692798022
"1006","Multiple Linear Regression",4681.11447760698
"1007","Imputation Model",14213.9118457907
"1008","Gradient Boosting Machines",4212.35559063405
"1009","Multiple Linear Regression",4655.06371315541
"1010","Imputation Model",14309.3295148236
"1011","Gradient Boosting Machines",4201.14930823847
"1012","Multiple Linear Regression",4736.81571521822
"1013","Imputation Model",14304.9462649544
"1014","Gradient Boosting Machines",4298.22886161214
"1015","Multiple Linear Regression",4554.22040766789
"1016","Imputation Model",14091.4205948885
"1017","Gradient Boosting Machines",4044.65690939254
"1018","Multiple Linear Regression",4792.42320927599
"1019","Imputation Model",14314.280480542
"1020","Gradient Boosting Machines",4267.66311352319
"1021","Multiple Linear Regression",4627.12674438425
"1022","Imputation Model",14260.3293359646
"1023","Gradient Boosting Machines",4034.87982494093
"1024","Multiple Linear Regression",4919.7687545986
"1025","Imputation Model",14482.9867431827
"1026","Gradient Boosting Machines",4452.26560739348
"1027","Multiple Linear Regression",4784.44841035585
"1028","Imputation Model",14249.9762616692
"1029","Gradient Boosting Machines",4370.12882034068
"1030","Multiple Linear Regression",4675.16769979512
"1031","Imputation Model",14219.2410197136
"1032","Gradient Boosting Machines",4224.31435324891
"1033","Multiple Linear Regression",4548.53915726325
"1034","Imputation Model",14161.443196268
"1035","Gradient Boosting Machines",4155.42414629136
"1036","Multiple Linear Regression",4594.15379547803
"1037","Imputation Model",14280.7817652141
"1038","Gradient Boosting Machines",4177.95723277166
"1039","Multiple Linear Regression",4310.54270246891
"1040","Imputation Model",14135.4794893922
"1041","Gradient Boosting Machines",3969.86284289572
"1042","Multiple Linear Regression",4484.20606469185
"1043","Imputation Model",13999.8663229492
"1044","Gradient Boosting Machines",4152.02727342982
"1045","Multiple Linear Regression",4768.71055444759
"1046","Imputation Model",14284.1906355461
"1047","Gradient Boosting Machines",4239.34000599435
"1048","Multiple Linear Regression",4588.37068102103
"1049","Imputation Model",14163.3804309917
"1050","Gradient Boosting Machines",4242.50587453932
"1051","Multiple Linear Regression",4542.06356714291
"1052","Imputation Model",14142.6644163568
"1053","Gradient Boosting Machines",4111.13476442478
"1054","Multiple Linear Regression",4213.775040995
"1055","Imputation Model",13954.8138360759
"1056","Gradient Boosting Machines",3953.05410194564
"1057","Multiple Linear Regression",4585.44457633414
"1058","Imputation Model",14117.15974679
"1059","Gradient Boosting Machines",4202.27417230959
"1060","Multiple Linear Regression",4834.76778226121
"1061","Imputation Model",14240.0766083527
"1062","Gradient Boosting Machines",4324.18404563534
"1063","Multiple Linear Regression",4550.03499585991
"1064","Imputation Model",14186.1455189006
"1065","Gradient Boosting Machines",4114.72217112047
"1066","Multiple Linear Regression",4541.80431405911
"1067","Imputation Model",14276.0981280499
"1068","Gradient Boosting Machines",4252.62874128471
"1069","Multiple Linear Regression",4758.27128711904
"1070","Imputation Model",14310.0339757114
"1071","Gradient Boosting Machines",4261.31483165187
"1072","Multiple Linear Regression",4457.80321178335
"1073","Imputation Model",14126.8768332082
"1074","Gradient Boosting Machines",3987.47737614246
"1075","Multiple Linear Regression",4443.51023543084
"1076","Imputation Model",13908.4477362333
"1077","Gradient Boosting Machines",4018.00346818145
"1078","Multiple Linear Regression",4483.23593323033
"1079","Imputation Model",13941.632921467
"1080","Gradient Boosting Machines",4092.1268543673
"1081","Multiple Linear Regression",4435.01288398745
"1082","Imputation Model",14079.8407151684
"1083","Gradient Boosting Machines",4100.14786067131
"1084","Multiple Linear Regression",4485.25364478895
"1085","Imputation Model",14064.5228826237
"1086","Gradient Boosting Machines",3993.66450312595
"1087","Multiple Linear Regression",4456.69144505477
"1088","Imputation Model",14089.2633348641
"1089","Gradient Boosting Machines",4103.16906181027
"1090","Multiple Linear Regression",4648.9431514005
"1091","Imputation Model",14188.4580006973
"1092","Gradient Boosting Machines",4145.84068014234
"1093","Multiple Linear Regression",4525.15983061929
"1094","Imputation Model",14137.4356218745
"1095","Gradient Boosting Machines",4041.0045186151
"1096","Multiple Linear Regression",4651.39056573937
"1097","Imputation Model",14249.5875804615
"1098","Gradient Boosting Machines",4174.21874327545
"1099","Multiple Linear Regression",4629.68159357085
"1100","Imputation Model",14230.4675001976
"1101","Gradient Boosting Machines",4161.74228385533
"1102","Multiple Linear Regression",4614.37229526429
"1103","Imputation Model",14162.4137245791
"1104","Gradient Boosting Machines",4138.45916502651
"1105","Multiple Linear Regression",4625.10687771878
"1106","Imputation Model",14232.166261919
"1107","Gradient Boosting Machines",4290.50288280698
"1108","Multiple Linear Regression",4608.32992055785
"1109","Imputation Model",14192.4563602012
"1110","Gradient Boosting Machines",4212.18527247332
"1111","Multiple Linear Regression",4506.5317313354
"1112","Imputation Model",14171.5577756615
"1113","Gradient Boosting Machines",4051.31236841849
"1114","Multiple Linear Regression",4654.10051812498
"1115","Imputation Model",14212.5838993979
"1116","Gradient Boosting Machines",4197.51215128953
"1117","Multiple Linear Regression",4632.0386946936
"1118","Imputation Model",14219.4327466534
"1119","Gradient Boosting Machines",4127.71569732372
"1120","Multiple Linear Regression",4646.18275714213
"1121","Imputation Model",14207.8239439925
"1122","Gradient Boosting Machines",4169.65239781208
"1123","Multiple Linear Regression",4841.55637177656
"1124","Imputation Model",14295.9172101635
"1125","Gradient Boosting Machines",4354.85262734446
"1126","Multiple Linear Regression",4700.80257736115
"1127","Imputation Model",14306.5135877689
"1128","Gradient Boosting Machines",4272.16640775692
"1129","Multiple Linear Regression",4863.13684375226
"1130","Imputation Model",14382.6070102995
"1131","Gradient Boosting Machines",4345.92465305978
"1132","Multiple Linear Regression",4860.65035562938
"1133","Imputation Model",14389.0797511259
"1134","Gradient Boosting Machines",4404.6721397974
"1135","Multiple Linear Regression",4691.60177999425
"1136","Imputation Model",14284.0659356366
"1137","Gradient Boosting Machines",4195.72716091029
"1138","Multiple Linear Regression",4534.21418316321
"1139","Imputation Model",14116.3402060816
"1140","Gradient Boosting Machines",4086.27737797954
"1141","Multiple Linear Regression",4374.92997164442
"1142","Imputation Model",13962.3706762882
"1143","Gradient Boosting Machines",3922.8082038007
"1144","Multiple Linear Regression",4453.47574175937
"1145","Imputation Model",14078.1376403381
"1146","Gradient Boosting Machines",4048.37606783133
"1147","Multiple Linear Regression",4457.44071236809
"1148","Imputation Model",14083.6378974706
"1149","Gradient Boosting Machines",4043.40327304948
"1150","Multiple Linear Regression",4637.52944076998
"1151","Imputation Model",14154.3472940075
"1152","Gradient Boosting Machines",4234.68302822038
"1153","Multiple Linear Regression",4820.86638858376
"1154","Imputation Model",14423.1787842227
"1155","Gradient Boosting Machines",4417.32946696659
"1156","Multiple Linear Regression",4521.35864023837
"1157","Imputation Model",14056.6944811742
"1158","Gradient Boosting Machines",4149.487140379
"1159","Multiple Linear Regression",4700.60449670315
"1160","Imputation Model",14120.8919280463
"1161","Gradient Boosting Machines",4305.5019931361
"1162","Multiple Linear Regression",4733.35334093871
"1163","Imputation Model",14164.5292879744
"1164","Gradient Boosting Machines",4266.40976105085
"1165","Multiple Linear Regression",4432.28187194772
"1166","Imputation Model",14023.5974987787
"1167","Gradient Boosting Machines",4086.91612768452
"1168","Multiple Linear Regression",4802.80260905568
"1169","Imputation Model",14370.1455460903
"1170","Gradient Boosting Machines",4366.39428625958
"1171","Multiple Linear Regression",4437.57907140451
"1172","Imputation Model",14094.2813864539
"1173","Gradient Boosting Machines",4109.33233492269
"1174","Multiple Linear Regression",4476.91502556602
"1175","Imputation Model",13968.5777439029
"1176","Gradient Boosting Machines",4155.85056087522
"1177","Multiple Linear Regression",4345.66936793245
"1178","Imputation Model",13990.9544611884
"1179","Gradient Boosting Machines",4031.96713392809
"1180","Multiple Linear Regression",4891.5990483359
"1181","Imputation Model",14519.7847338245
"1182","Gradient Boosting Machines",4415.37443438845
"1183","Multiple Linear Regression",4426.84836195329
"1184","Imputation Model",14109.7817317551
"1185","Gradient Boosting Machines",3948.74792739669
"1186","Multiple Linear Regression",4623.07383635482
"1187","Imputation Model",14266.3876794204
"1188","Gradient Boosting Machines",4164.47953551419
"1189","Multiple Linear Regression",4591.85751958742
"1190","Imputation Model",14186.1431249026
"1191","Gradient Boosting Machines",4109.25373959126
"1192","Multiple Linear Regression",4413.28274310674
"1193","Imputation Model",13994.3463910177
"1194","Gradient Boosting Machines",3994.12361104896
"1195","Multiple Linear Regression",4499.3847225346
"1196","Imputation Model",14088.335955752
"1197","Gradient Boosting Machines",4109.21618653783
"1198","Multiple Linear Regression",4915.81003982371
"1199","Imputation Model",14406.6901585089
"1200","Gradient Boosting Machines",4442.69898415287
"1201","Multiple Linear Regression",4407.08911998787
"1202","Imputation Model",14000.7326032477
"1203","Gradient Boosting Machines",4098.70302854132
"1204","Multiple Linear Regression",4482.01365053906
"1205","Imputation Model",14136.4712097515
"1206","Gradient Boosting Machines",4035.71656840393
"1207","Multiple Linear Regression",4757.51842294604
"1208","Imputation Model",14341.1661681295
"1209","Gradient Boosting Machines",4382.92961338481
"1210","Multiple Linear Regression",4584.0125922149
"1211","Imputation Model",14082.9004486104
"1212","Gradient Boosting Machines",4151.99435843166
"1213","Multiple Linear Regression",4848.14701304224
"1214","Imputation Model",14299.8129194691
"1215","Gradient Boosting Machines",4407.73076401981
"1216","Multiple Linear Regression",4643.65942507644
"1217","Imputation Model",14191.1624779717
"1218","Gradient Boosting Machines",4316.45623496882
"1219","Multiple Linear Regression",4723.30689387332
"1220","Imputation Model",14300.3326200878
"1221","Gradient Boosting Machines",4224.54076667024
"1222","Multiple Linear Regression",4697.05958447002
"1223","Imputation Model",14212.7012057048
"1224","Gradient Boosting Machines",4193.78150158779
"1225","Multiple Linear Regression",4677.70556510322
"1226","Imputation Model",14079.3882479719
"1227","Gradient Boosting Machines",4334.09511645015
"1228","Multiple Linear Regression",4610.35596142738
"1229","Imputation Model",14209.6849873463
"1230","Gradient Boosting Machines",4220.54562417611
"1231","Multiple Linear Regression",4750.60165993343
"1232","Imputation Model",14365.2488562852
"1233","Gradient Boosting Machines",4252.399708116
"1234","Multiple Linear Regression",4535.60885254658
"1235","Imputation Model",14133.7096607032
"1236","Gradient Boosting Machines",4088.49048408099
"1237","Multiple Linear Regression",4531.91040243204
"1238","Imputation Model",14165.2048806969
"1239","Gradient Boosting Machines",4090.82057066328
"1240","Multiple Linear Regression",4564.86733614176
"1241","Imputation Model",14287.0978928712
"1242","Gradient Boosting Machines",4176.12383218361
"1243","Multiple Linear Regression",4541.93580540311
"1244","Imputation Model",14098.1077693711
"1245","Gradient Boosting Machines",4088.14086377024
"1246","Multiple Linear Regression",4328.54638982994
"1247","Imputation Model",13857.1474927661
"1248","Gradient Boosting Machines",3980.14428815533
"1249","Multiple Linear Regression",4653.625904579
"1250","Imputation Model",14200.0562375723
"1251","Gradient Boosting Machines",4186.01556326579
"1252","Multiple Linear Regression",4733.06283984385
"1253","Imputation Model",14163.8040611417
"1254","Gradient Boosting Machines",4297.43374650408
"1255","Multiple Linear Regression",4395.12814389346
"1256","Imputation Model",14191.6529191854
"1257","Gradient Boosting Machines",4093.86784062689
"1258","Multiple Linear Regression",4546.25090381033
"1259","Imputation Model",14245.5183601739
"1260","Gradient Boosting Machines",4078.08450687469
"1261","Multiple Linear Regression",4751.22375165239
"1262","Imputation Model",14292.4804336551
"1263","Gradient Boosting Machines",4278.59831575565
"1264","Multiple Linear Regression",4517.08400494342
"1265","Imputation Model",14141.3088562095
"1266","Gradient Boosting Machines",4084.79565979214
"1267","Multiple Linear Regression",4822.34624544261
"1268","Imputation Model",14329.8272740707
"1269","Gradient Boosting Machines",4389.22704370216
"1270","Multiple Linear Regression",4400.90962440169
"1271","Imputation Model",13988.0952170403
"1272","Gradient Boosting Machines",3973.65175989721
"1273","Multiple Linear Regression",4831.44791896648
"1274","Imputation Model",14285.9697771805
"1275","Gradient Boosting Machines",4320.89236192973
"1276","Multiple Linear Regression",4434.23765859578
"1277","Imputation Model",14108.9864446644
"1278","Gradient Boosting Machines",4025.36787825248
"1279","Multiple Linear Regression",4682.33444094023
"1280","Imputation Model",14268.8997329909
"1281","Gradient Boosting Machines",4229.71381034414
"1282","Multiple Linear Regression",4581.41669598325
"1283","Imputation Model",14166.7130054654
"1284","Gradient Boosting Machines",4118.42136183897
"1285","Multiple Linear Regression",4661.58089920648
"1286","Imputation Model",14219.6740451611
"1287","Gradient Boosting Machines",4159.300393482
"1288","Multiple Linear Regression",4304.78938605721
"1289","Imputation Model",14146.344723231
"1290","Gradient Boosting Machines",3879.74237586247
"1291","Multiple Linear Regression",4623.14137614189
"1292","Imputation Model",14183.8889980108
"1293","Gradient Boosting Machines",4132.48407152497
"1294","Multiple Linear Regression",4628.78077601785
"1295","Imputation Model",14321.4231066901
"1296","Gradient Boosting Machines",4170.19082745706
"1297","Multiple Linear Regression",4701.97192905689
"1298","Imputation Model",14119.4734081075
"1299","Gradient Boosting Machines",4196.53572273687
"1300","Multiple Linear Regression",4753.51372106687
"1301","Imputation Model",14271.0532881723
"1302","Gradient Boosting Machines",4283.48538259377
"1303","Multiple Linear Regression",4617.32177528183
"1304","Imputation Model",14229.9040620109
"1305","Gradient Boosting Machines",4140.18507082004
"1306","Multiple Linear Regression",4814.88729017854
